scenario,param,rte_dmap_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.33,3.01,-1.68,1.68,-55.8,False,0.129,0.175,-0.046,0.046,-26.3,False
nav_a_omni,0.50m,1.09,2.54,-1.45,1.45,-57.1,False,0.102,0.124,-0.022,0.022,-17.7,False
loop,0.50m,4.48,5.95,-1.47,1.47,-24.7,False,0.281,0.308,-0.027,0.027,-8.8,False
slippage,0.50m,0.90,1.19,-0.29,0.29,-24.4,False,0.081,0.083,-0.002,0.002,-2.4,True
nav_a_diff,1.00m,1.21,2.05,-0.84,0.84,-41.0,False,0.120,0.154,-0.034,0.034,-22.1,False
nav_a_omni,1.00m,1.09,1.80,-0.71,0.71,-39.4,False,0.108,0.125,-0.017,0.017,-13.6,False
loop,1.00m,4.18,4.33,-0.15,0.15,-3.5,False,0.254,0.234,+0.020,0.020,+8.5,False
slippage,1.00m,1.19,0.60,+0.59,0.59,+98.3,False,0.136,0.092,+0.044,0.044,+47.8,False
nav_a_diff,1.50m,1.23,1.69,-0.46,0.46,-27.2,False,0.114,0.147,-0.033,0.033,-22.4,False
nav_a_omni,1.50m,1.18,1.47,-0.29,0.29,-19.7,False,0.110,0.104,+0.006,0.006,+5.8,False
loop,1.50m,3.80,3.13,+0.67,0.67,+21.4,False,0.227,0.188,+0.039,0.039,+20.7,False
slippage,1.50m,0.77,0.50,+0.27,0.27,+54.0,False,0.051,0.053,-0.002,0.002,-3.8,True
nav_a_diff,2.00m,1.15,1.42,-0.27,0.27,-19.0,False,0.105,0.124,-0.019,0.019,-15.3,False
nav_a_omni,2.00m,1.07,1.32,-0.25,0.25,-18.9,False,0.105,0.115,-0.010,0.010,-8.7,False
loop,2.00m,3.20,2.84,+0.36,0.36,+12.7,False,0.188,0.194,-0.006,0.006,-3.1,False
slippage,2.00m,0.76,0.49,+0.27,0.27,+55.1,False,0.042,0.057,-0.015,0.015,-26.3,False
nav_a_diff,2.50m,1.18,1.31,-0.13,0.13,-9.9,False,0.103,0.114,-0.011,0.011,-9.6,False
nav_a_omni,2.50m,1.05,1.09,-0.04,0.04,-3.7,True,0.088,0.087,+0.001,0.001,+1.1,True
loop,2.50m,3.48,3.83,-0.35,0.35,-9.1,False,0.188,0.200,-0.012,0.012,-6.0,False
slippage,2.50m,0.70,0.47,+0.23,0.23,+48.9,False,0.045,0.057,-0.012,0.012,-21.1,False
nav_a_diff,3.00m,1.26,1.55,-0.29,0.29,-18.7,False,0.121,0.117,+0.004,0.004,+3.4,True
nav_a_omni,3.00m,0.90,1.54,-0.64,0.64,-41.6,False,0.084,0.103,-0.019,0.019,-18.4,False
loop,3.00m,2.45,3.66,-1.21,1.21,-33.1,False,0.161,0.190,-0.029,0.029,-15.3,False
slippage,3.00m,1.02,0.78,+0.24,0.24,+30.8,False,0.116,0.062,+0.054,0.054,+87.1,False
nav_a_diff,40%,0.98,1.10,-0.12,0.12,-10.9,False,0.086,0.100,-0.014,0.014,-14.0,False
nav_a_omni,40%,0.87,0.97,-0.10,0.10,-10.3,False,0.089,0.080,+0.009,0.009,+11.2,False
loop,40%,1.91,3.16,-1.25,1.25,-39.6,False,0.121,0.179,-0.058,0.058,-32.4,False
slippage,40%,0.67,0.62,+0.05,0.05,+8.1,False,0.065,0.067,-0.002,0.002,-3.0,True
nav_a_diff,50%,1.17,1.32,-0.15,0.15,-11.4,False,0.111,0.119,-0.008,0.008,-6.7,False
nav_a_omni,50%,0.94,1.02,-0.08,0.08,-7.8,False,0.085,0.087,-0.002,0.002,-2.3,True
loop,50%,2.90,2.84,+0.06,0.06,+2.1,False,0.140,0.142,-0.002,0.002,-1.4,True
slippage,50%,0.83,0.86,-0.03,0.03,-3.5,True,0.059,0.087,-0.028,0.028,-32.2,False
nav_a_diff,60%,1.26,1.49,-0.23,0.23,-15.4,False,0.118,0.135,-0.017,0.017,-12.6,False
nav_a_omni,60%,1.10,1.15,-0.05,0.05,-4.3,True,0.096,0.101,-0.005,0.005,-5.0,False
loop,60%,3.10,3.11,-0.01,0.01,-0.3,True,0.152,0.168,-0.016,0.016,-9.5,False
slippage,60%,0.89,0.47,+0.42,0.42,+89.4,False,0.068,0.045,+0.023,0.023,+51.1,False
nav_a_diff,70%,1.36,1.87,-0.51,0.51,-27.3,False,0.125,0.152,-0.027,0.027,-17.8,False
nav_a_omni,70%,1.07,1.52,-0.45,0.45,-29.6,False,0.095,0.098,-0.003,0.003,-3.1,True
loop,70%,3.86,4.39,-0.53,0.53,-12.1,False,0.223,0.210,+0.013,0.013,+6.2,False
slippage,70%,1.19,0.55,+0.64,0.64,+116.4,False,0.072,0.052,+0.020,0.020,+38.5,False
nav_a_diff,80%,2.09,2.46,-0.37,0.37,-15.0,False,0.155,0.162,-0.007,0.007,-4.3,False
nav_a_omni,80%,2.54,2.03,+0.51,0.51,+25.1,False,0.209,0.111,+0.098,0.098,+88.3,False
loop,80%,7.03,5.41,+1.62,1.62,+29.9,False,0.237,0.253,-0.016,0.016,-6.3,False
slippage,80%,7.73,0.91,+6.82,6.82,+749.5,False,0.252,0.061,+0.191,0.191,+313.1,False
nav_a_diff,90%,14.08,5.13,+8.95,8.95,+174.5,False,0.628,0.303,+0.325,0.325,+107.3,False
nav_a_omni,90%,12.10,4.06,+8.04,8.04,+198.0,False,0.578,0.178,+0.400,0.400,+224.7,False
loop,90%,11.22,10.32,+0.90,0.90,+8.7,False,0.622,0.420,+0.202,0.202,+48.1,False
slippage,90%,16.12,2.40,+13.72,13.72,+571.7,False,0.461,0.075,+0.386,0.386,+514.7,False
