scenario,param,rte_icp_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.55,3.14,-1.59,1.59,-50.6,False,0.142,0.147,-0.005,0.005,-3.4,False
nav_a_omni,0.50m,1.35,2.60,-1.25,1.25,-48.1,False,0.104,0.108,-0.004,0.004,-3.7,True
loop,0.50m,4.80,6.91,-2.11,2.11,-30.5,False,0.309,0.338,-0.029,0.029,-8.6,False
slippage,0.50m,1.47,1.38,+0.09,0.09,+6.5,False,0.134,0.104,+0.030,0.030,+28.8,False
nav_a_diff,1.00m,1.45,2.20,-0.75,0.75,-34.1,False,0.119,0.138,-0.019,0.019,-13.8,False
nav_a_omni,1.00m,1.29,1.77,-0.48,0.48,-27.1,False,0.096,0.109,-0.013,0.013,-11.9,False
loop,1.00m,3.06,5.15,-2.09,2.09,-40.6,False,0.237,0.276,-0.039,0.039,-14.1,False
slippage,1.00m,1.09,0.60,+0.49,0.49,+81.7,False,0.100,0.088,+0.012,0.012,+13.6,False
nav_a_diff,1.50m,1.38,1.69,-0.31,0.31,-18.3,False,0.141,0.134,+0.007,0.007,+5.2,False
nav_a_omni,1.50m,1.20,1.46,-0.26,0.26,-17.8,False,0.097,0.112,-0.015,0.015,-13.4,False
loop,1.50m,3.44,3.93,-0.49,0.49,-12.5,False,0.246,0.235,+0.011,0.011,+4.7,False
slippage,1.50m,0.83,0.48,+0.35,0.35,+72.9,False,0.115,0.059,+0.056,0.056,+94.9,False
nav_a_diff,2.00m,1.23,1.62,-0.39,0.39,-24.1,False,0.133,0.125,+0.008,0.008,+6.4,False
nav_a_omni,2.00m,1.07,1.31,-0.24,0.24,-18.3,False,0.094,0.092,+0.002,0.002,+2.2,True
loop,2.00m,2.79,2.75,+0.04,0.04,+1.5,True,0.190,0.180,+0.010,0.010,+5.6,False
slippage,2.00m,0.69,0.45,+0.24,0.24,+53.3,False,0.084,0.054,+0.030,0.030,+55.6,False
nav_a_diff,2.50m,1.15,1.34,-0.19,0.19,-14.2,False,0.111,0.109,+0.002,0.002,+1.8,True
nav_a_omni,2.50m,1.01,1.16,-0.15,0.15,-12.9,False,0.108,0.096,+0.012,0.012,+12.5,False
loop,2.50m,3.41,4.19,-0.78,0.78,-18.6,False,0.208,0.231,-0.023,0.023,-10.0,False
slippage,2.50m,0.68,0.77,-0.09,0.09,-11.7,False,0.066,0.045,+0.021,0.021,+46.7,False
nav_a_diff,3.00m,1.78,1.57,+0.21,0.21,+13.4,False,0.133,0.139,-0.006,0.006,-4.3,False
nav_a_omni,3.00m,1.34,1.37,-0.03,0.03,-2.2,True,0.115,0.102,+0.013,0.013,+12.7,False
loop,3.00m,2.83,3.62,-0.79,0.79,-21.8,False,0.151,0.222,-0.071,0.071,-32.0,False
slippage,3.00m,0.64,0.68,-0.04,0.04,-5.9,True,0.063,0.039,+0.024,0.024,+61.5,False
nav_a_diff,40%,1.17,1.34,-0.17,0.17,-12.7,False,0.102,0.114,-0.012,0.012,-10.5,False
nav_a_omni,40%,1.18,1.19,-0.01,0.01,-0.8,True,0.118,0.106,+0.012,0.012,+11.3,False
loop,40%,1.79,2.89,-1.10,1.10,-38.1,False,0.153,0.176,-0.023,0.023,-13.1,False
slippage,40%,1.01,0.87,+0.14,0.14,+16.1,False,0.119,0.061,+0.058,0.058,+95.1,False
nav_a_diff,50%,1.13,1.45,-0.32,0.32,-22.1,False,0.113,0.132,-0.019,0.019,-14.4,False
nav_a_omni,50%,0.91,1.21,-0.30,0.30,-24.8,False,0.089,0.106,-0.017,0.017,-16.0,False
loop,50%,2.41,3.33,-0.92,0.92,-27.6,False,0.144,0.197,-0.053,0.053,-26.9,False
slippage,50%,1.01,0.64,+0.37,0.37,+57.8,False,0.107,0.051,+0.056,0.056,+109.8,False
nav_a_diff,60%,1.02,1.56,-0.54,0.54,-34.6,False,0.105,0.136,-0.031,0.031,-22.8,False
nav_a_omni,60%,0.92,1.41,-0.49,0.49,-34.8,False,0.090,0.112,-0.022,0.022,-19.6,False
loop,60%,3.12,3.56,-0.44,0.44,-12.4,False,0.190,0.213,-0.023,0.023,-10.8,False
slippage,60%,0.88,0.56,+0.32,0.32,+57.1,False,0.108,0.053,+0.055,0.055,+103.8,False
nav_a_diff,70%,1.19,1.85,-0.66,0.66,-35.7,False,0.115,0.129,-0.014,0.014,-10.9,False
nav_a_omni,70%,0.95,1.66,-0.71,0.71,-42.8,False,0.087,0.108,-0.021,0.021,-19.4,False
loop,70%,3.30,4.80,-1.50,1.50,-31.2,False,0.209,0.239,-0.030,0.030,-12.6,False
slippage,70%,0.73,0.75,-0.02,0.02,-2.7,True,0.080,0.079,+0.001,0.001,+1.3,True
nav_a_diff,80%,1.88,2.45,-0.57,0.57,-23.3,False,0.151,0.130,+0.021,0.021,+16.2,False
nav_a_omni,80%,2.33,2.13,+0.20,0.20,+9.4,False,0.126,0.079,+0.047,0.047,+59.5,False
loop,80%,5.04,6.02,-0.98,0.98,-16.3,False,0.230,0.303,-0.073,0.073,-24.1,False
slippage,80%,4.08,1.06,+3.02,3.02,+284.9,False,0.074,0.097,-0.023,0.023,-23.7,False
nav_a_diff,90%,8.44,5.00,+3.44,3.44,+68.8,False,0.231,0.216,+0.015,0.015,+6.9,False
nav_a_omni,90%,9.18,4.07,+5.11,5.11,+125.6,False,0.237,0.163,+0.074,0.074,+45.4,False
loop,90%,8.28,10.93,-2.65,2.65,-24.2,False,0.139,0.407,-0.268,0.268,-65.8,False
slippage,90%,7.10,2.61,+4.49,4.49,+172.0,False,0.168,0.093,+0.075,0.075,+80.6,False
